Section,Height,Gender,Excited_Class,Play_Instrument,Instrument_Type,Fave_Food,Year,Pop_US,Pop_Pakistan,State_Country,Smoked,Haircut,Change,Siblings,Sleep,Prof_Age,Coop,Exercise,Politics,Major,Drink
3,66,M,6,N,NA,Last,4th,30,10,PA,N,15,400,1,7.5,42,N,2,6,Physics,Tea
3,63,F,9,Y,Oboe,First,2nd,330,135,NY,N,75,500,1,8.5,40,N,6,5,Bio/CRWR,Tea
3,65,F,7,N,NA,First,3rd,400,15,CA,N,70,75,0,5.5,35,N,5,6,Econ,Tea
3,61,F,8,N,NA,Last,1st,5,2,OH,N,15,0,1,6,32,N,0,5,Biochem,Coffee
3,73,M,7,Y,NA,First,1st,300,250,IL,N,NA,0,2,7,37,N,10,6,Neuro,Neither
3,67,F,6,Y,Piano,Last,3rd,200,180,NY,N,50,400,0,9,39,Y,2.5,6,Bio,Coffee
3,74,M,10,N,NA,First,1st,600,10,NY,N,22,0,2,8.5,36,N,7,6,Neuro,Coffee
3,72,M,10,Y,Violin,Last,2nd,360,20,France,N,15,0,3,8,32,N,7,6,Econ/ENVS,Tea
3,67,F,6,Y,Viola,Last,3rd,250,175,NY,N,25,300,4,9,39,Y,3,6,Bio,Coffee
3,72,M,7,Y,Viola,Last,2nd,320,175,MA,N,35,239,2,7.5,38,Y,4,6,Viola,Tea
3,67,NonBinary,7,Y,Guitar,Last,2nd,320,170,CA,N,18,35,0,8.5,32,Y,4,6,Econ,Tea
3,72,M,5,Y,Drums,Last,3rd,333,100,MA,N,20,0,1,8,30,N,6,5.5,Soc,Coffee
3,72,M,7,Y,Cajon,Last,1st,330,4,CA,N,42,0,2,7,37,N,3,3,Undecided,Neither
3,60,F,7,Y,Violin,First,4th,300,100,OH,N,55,23,1,8,40,N,2,5,Biochem,Tea
3,63,F,6,Y,Cello,Last,2nd,300,100,CA,N,40,NA,0,7,40,Y,NA,5,Violin,Tea
3,66,F,8,Y,Piano,First,2nd,7000,5000,China,N,20,0,0,7,35,N,3,4,ArtHist/Econ,Coffee
3,70,M,9,Y,Guitar,First,2nd,475,200,ME,N,24,0,2,8,35,N,7,3,Econ,Coffee
3,63,F,9,Y,Piano,First,4th,50,25,China,N,30,50,0,8,40,N,1,6,Biochem/ENVS,Tea
3,64,F,7,Y,Piano,Last,4th,54,30,MA,N,90,51,2,5,34,N,4,5,Neuro/French,Both
3,63,F,5,Y,Bawu,Last,2nd,30,3,China,N,10,0,0,8,35,N,3,NA,Math/Phil,Tea
3,75,M,4,N,NA,First,3rd,300,150,VA,Y,5,0,2,8,32,N,6,3,Econ,Coffee
3,NA,F,8,N,NA,First,1st,2000,1000,China,N,2,0,0,7,35,N,1,4,Undecided,Both
3,63,F,7,N,NA,First,2nd,60,70,PA,N,50,0,1,7,38,Y,4,6,Bio/Theater,Tea
4,66,M,7,N,NA,Last,3rd,320,85,VA,N,40,0,1,9,40,N,4,6,Hist/Pol,Coffee
4,64,F,6,Y,Violin,Last,4th,600,100,CA,N,75,300,0,8,39,N,5,6,Biochem/Bio,Coffee
4,73,M,7,N,NA,First,3rd,300,100,FL,N,18,0,2,6,34,N,8,5,Econ,Coffee
4,68,M,7,N,NA,Last,2nd,300,101,CA,N,20,0,2,6.5,35,N,7,4,Bio,Tea
4,71,M,4,N,NA,First,2nd,350,100,TN,N,20,0,2,6,30,N,6,4,Econ/Hist,Neither
4,67,F,8,Y,Violin,Last,3rd,500,700,Singapore,N,25,200,2,8,26,N,1,5,Econ,Both
4,69,M,8,N,NA,Last,2nd,400,2,TN,N,25,25,2,10,35,N,2,6,Math/Econ,Coffee
4,62,F,5,Y,Guitar/Piano,Last,1st,30,19,VA,N,70,300,1,6,30,Y,7,3,Psych,Coffee
4,62,F,8,Y,Piano,Last,2nd,300,100,NY,N,450,0,1,8,34,N,5,4,Econ,Coffee
4,61,F,7,N,NA,First,2nd,330,60,CA,N,145,300,1,7,37,N,4,6,Econ/Span,Tea
4,67,F,4,N,NA,First,4th,330,54,OH,N,30,25,0,8,43,N,4,6,Geo/ENVS,Coffee
4,66,F,7,Y,Violin,Last,3rd,300,20,OH,N,15,55,2,7,32,N,5,6,Geo,Neither
4,64,M,8,Y,Bass,Last,1st,315,175,NY,N,48,0,0,7.5,40,N,0,6,Pol/Econ,Both
4,68,M,8,N,NA,First,2nd,80,10,FL,N,15,75,0,9,36,N,5,4,Econ,Coffee
4,64,F,8,Y,Violin,First,1st,300,200,OH,N,60,53,1,7,41,N,5,4,Econ,Coffee
4,67,F,8,N,NA,Last,2nd,20,0.5,Korea,N,50,25,1,7,35,N,3,5,ArtHist,Tea
4,70,F,5,Y,Piano,Last,4th,100,10,ME,N,50,10,1,6.5,32,N,6,6,Bio/Neuro,Coffee
4,68,F,7,Y,Piano,Last,1st,40,10,PA,N,73,132,1,9,35,N,0,6,Undecided,Neither
4,65,F,8,N,NA,Last,1st,300,100,OH,N,15,250,2,6,35,N,7,3,Math,Neither
4,64,F,9,N,NA,Last,4th,340,60,CA,N,30,811,1,8.5,34,N,5,5,EAS,Neither
4,65,F,10,Y,Piano,First,2nd,300,8,China,N,80,2,0,8,39,N,5,4,Math,Tea
4,67,F,4,Y,Cello,Last,4th,300,100,NJ,N,0,1,1,8,40,Y,9,6,Arch/Anthro,Coffee
4,63,F,6,N,NA,Last,2nd,400,300,MD,N,0,65,1,6,40,N,9,6,English,Coffee
4,72,M,10,Y,Trumpet,Last,2nd,350,45,NJ,N,21,0,2,8,42,N,5,4,JazzTrumpet/Econ,Neither
4,67,M,8,Y,Violin,First,2nd,30,15,MI,N,13,0,4,7.5,35,N,4,4,Econ,Coffee